IDS,Number,Fragment full,Fragment 44,Standard 1 Delta Values,Standard 2 Delta Values,VPDB etc. Deltas,VPDB etc. Deltas Error,Relative Deltas,Relative Deltas Error
C,2,1,1,-30,-25,-0.028,1.169,30.899,1.205
C,1,1,x,-30,-25,0.134,1.831,31.066,1.888
O,2,1,x,0,10,0.525,3.182,31.47,3.281
N,1,1,1,0,10,0.022,1.815,30.95,1.871
H,6,1,1,0,100,-0.176,2.605,30.747,2.685
H,2,1,x,0,-100,1.703,15.486,32.683,15.965
