Molecular Average,Delta Error
13C/Unsub,0.1
Fragment full,M+1 Relative Abundance Error
D,5
13C,1
17O,5
Fragment 126,M+1 Relative Abundance
Unsub,1
D,5
13C,1
17O,5
Fragment 111,M+1 Relative Abundance
Unsub,1
D,5
13C,1
17O,5
