IDS,Number,Fragment full,Fragment 44,Standard 1 Delta Values,Standard 2 Delta Values,VPDB etc. Deltas,VPDB etc. Deltas Error,Relative Deltas,Relative Deltas Error
C,2,1,1,-30,-25,-11.905,0.88,-0.005,0.89
C,1,1,x,-30,-25,-9.914,1.728,0.036,1.745
O,2,1,x,0,10,-0.539,13.609,-0.539,13.609
N,1,1,1,0,10,0.43,2.309,0.43,2.309
H,6,1,1,0,100,-0.676,7.634,-0.676,7.634
H,2,1,x,0,-100,2.261,37.798,2.261,37.798
