IDS,Number,Fragment full,Fragment 44,Standard 1 Delta Values,Standard 2 Delta Values,VPDB etc. Deltas,VPDB etc. Deltas Error,Relative Deltas,Relative Deltas Error
C,2,1,1,-30,-25,-0.005,0.886,30.923,0.913
C,1,1,x,-30,-25,0.036,1.74,30.965,1.793
O,2,1,x,0,10,-0.539,13.621,30.372,14.043
N,1,1,1,0,10,0.43,2.308,31.372,2.38
H,6,1,1,0,100,-0.676,7.64,30.231,7.876
H,2,1,x,0,-100,2.261,37.818,33.259,38.987
